City,Occurrences
Aberdeen,266
Advance,2
Ahoskie,5
Alamance,7
Albemarle,2
Angier,1844
Apex,6085
Arapahoe,1
Ararat,1
Archdale,16
Archer Lodge,119
Asheboro,80
Asheville,1
Atkinson,1
Atlantic Beach,10
Aulander,2
Aurora,1
Autryville,90
Ayden,17
Bahama,125
Bailey,286
Banner Elk,2
Baskerville,5
Battleboro,71
Bear Creek,59
Beaufort,2
Belhaven,1
Belmont,2
Bennett,17
Benson,1324
Bessemer City,1
Beulaville,3
Biscoe,1
Black Creek,5
Black Mountain,1
Bladenboro,16
Blanch,13
Blounts Creek,1
Bolivia,1
Boone,1
Boydton,17
Bracey,5
Broadway,346
Browns Summit,42
Buffalo Junction,10
Bullock,33
Bunn,19
Bunnlevel,322
Burgaw,1
Burlington,4705
Burnsville,1
Butner,117
Bynum,1
Calabash,2
Calypso,1
Cameron,1014
Candor,1
Carolina Beach,10
Carrboro,357
Carthage,320
Cary,7406
Castalia,19
Castle Hayne,2
Catawba,1
Cedar Grove,56
Centerville,1
Chadbourn,4
Chapel Hill,4889
Charlotte,20
Chase City,7
Chatham,1
China Grove,1
Clarksville,118
Clarkton,5
Clayton,7007
Clemmons,2
Climax,9
Clinton,125
Coats,216
Colfax,5
Columbia,1
Concord,3
Conover,1
Conway,1
Cornelius,2
Creedmoor,537
Dallas,2
Davis,1
Deep Gap,1
Denton,3
Drakes Branch VA,1
Dudley,41
Dunn,1052
Durham,15302
Eagle Springs,3
Eastover,88
Eden,73
Edenton,1
Edward,1
Efland,184
Elizabeth City,5
Elizabethtown,34
Elkin,5
Ellerbe,2
Elm City,66
Elon,532
Emerald Isle,2
Enfield,32
Erwin,488
Evergreen,2
Fairmont,57
Faison,4
Falcon,4
Farmville,5
Fayetteville,8570
Fleetwood,1
Fountain,3
Four Oaks,673
Foxfire,6
Franklin,9
Franklinton,1633
Franklinville,4
Fremont,104
Fuquay Varina,5661
Garland,5
Garner,3522
Garysburg,6
Gasburg,2
Gaston,4
Gastonia,2
Gibson,1
Gibsonville,677
Gloucester,1
Godwin,80
Goldsboro,807
Goldston,38
Graham,2151
Grantham,1
Green Level,2
Greensboro,569
Greenville,47
Grifton,3
Grimesland,1
Gulf,2
Halifax,8
Hallsboro,1
Hamlet,14
Hampstead,3
Harkers Island,1
Harnett County,3
Harrells,2
Havelock,1
Haw River,587
Henderson,1036
Henrico,15
Hertford,2
Hickory,3
High Point,104
Hillsborough,1470
Hobgood,1
Holden Beach,1
Hollister,6
Holly Ridge,1
Holly Springs,3461
Hope Mills,1577
Hubert,3
Hurdle Mills,131
Indian Trail,1
Ivanhoe,1
Jackson,2
Jackson Springs,25
Jacksonville,8
Jamestown,9
Jamesville,2
Johnsonville/Cameron,2
Jonesville,2
Julian,32
Kelly,1
Kenansville,1
Kenly,402
Kernersville,34
Kill Devil Hills,1
King,3
Kings Mountain,1
Kinston,52
Kittrell,65
Knightdale,1821
Kure Beach,2
La Grange,101
LaCrosse,3
Lake Lure,2
Lake Waccamaw,3
Lakeview,2
Lansing,1
Laurel Hill,7
Laurinburg,54
Leasburg,64
Leland,6
Lewisville,2
Lexington,23
Liberty,200
Lillington,1197
Lincolnton,1
Linden,210
Littleton,67
Louisburg,1241
Lucama,53
Lumber Bridge,63
Lumberton,495
Macclesfield,9
Macon,31
Madison,13
Maggie Valley,2
Magnolia,1
Manson,41
Manteo,1
Marshville,1
Marston,4
Matthews,2
Maxton,31
Mayodan,1
McLeansville,106
Mebane,2653
Merry Hill,1
Micro,28
Middleburg,2
Middlesex,386
Midway Park,1
Mill Spring,1
Milton,13
Misc.,1
Mocksville,5
Moncure,51
Monroe,3
Morehead City,5
Morrisville,1178
Mount Airy,5
Mount Gilead,6
Mount Olive,44
Murfreesboro,1
Murphy,1
Nashville,260
New Bern,10
New Hill,364
New London,71
Newport,5
Newton Grove,60
Norlina,67
North Topsail Beach,4
North Wilkesboro,1
Oak Island,7
Oak Ridge,4
Ocean Isle,1
Ocean Isle Beach,1
Oriental,3
Orrum,18
Other,28
Oxford,720
Parkton,282
Peletier,1
Pelham,11
Pembroke,29
Pfafftown,7
Pikeville,323
Pilot Mountain,1
Pine Knoll Shores,2
Pine Level,34
Pinebluff,16
Pinehurst,150
Pinetops,13
Pink Hill,2
Pittsboro,1646
Pleasant Garden,21
Plymouth,1
Princeton,365
Princeville,5
Proctorville,1
Prospect Hill,29
Providence,12
Raeford,2108
Raleigh,25968
Ramseur,31
Randleman,23
Red Oak,4
Red Springs,63
Reidsville,283
Rich Square,7
Richlands,2
Ridgeway,1
Roanoke Rapids,61
Robbins,23
Robbinsville,1
Robersonville,4
Rockingham,14
Rockwell,1
Rocky Mount,1163
Rocky Point,1
Rodanthe,2
Rolesville,635
Rose Hill,1
Roseboro,61
Rougemont,261
Rowland,36
Roxboro,903
Ruffin,26
Rural Hall,7
Saint Pauls,42
Salemburg,70
Salisbury,5
Sanford,3214
Saratoga,3
Saxapahaw,21
Scotland Neck,10
Seagrove,7
Selma,1075
Semora,149
Seven Lakes,3
Seven Springs,6
Shallotte,3
Shannon,13
Sharpsburg,8
Sherrills Ford,1
Siler City,329
Sims,65
Skipwith,3
Smithfield,1574
Sneads Ferry,1
Snow Camp,338
Snow Hill,12
Sophia,2
South Hill,2
South Mills,1
Southern Pines,166
Southport,4
Spring Hope,282
Spring Lake,1049
St. Paul,24
St. Pauls,60
Staley,30
Stanley,2
Stantonsburg,64
Star,2
Statesville,5
Stedman,242
Stem,176
Stokesdale,7
Stoneville,12
Stovall,8
Summerfield,21
Sunset Beach,5
Supply,10
Surf City,7
Swansboro,3
Swepsonville,5
Tarboro,98
Teachey,1
Thomasville,42
Timberlake,286
To Be Added,2
Tobaccoville,2
Topsail Beach,2
Traphill,1
Trinity,10
Troy,5
Tryon,1
Turkey,5
Union Grove,1
Valentines,1
Vanceboro,3
Vass,170
Victoria,1
Vilas,1
Virgilina,1
Wade,70
Wadesboro,3
Wagram,48
Wake Forest,6038
Walkertown,4
Wallace,1
Walnut Cove,8
Walstonburg,2
Warrenton,121
Warsaw,16
Washington,2
Waxhaw,1
Waynesville,1
Weaverville,1
Weldon,6
Wendell,2293
West End,65
West Jefferson,2
Westfield,1
Whispering Pines,52
Whitakers,23
White Lake,8
White Oak,6
Whiteville,6
Whitsett,539
Wilkesboro,5
Williamston,4
Willow Springs,1231
Wilmington,25
Wilson,640
Wilsons Mills,2
Windsor,3
Winnabow,1
Winston-Salem,87
Winterville,10
Wise,1
Wrightsville Beach,1
Yadkinville,2
Yanceyville,98
Youngsville,2033
Zebulon,2492
