Mortgage Rates,MLS #,City,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Date,Closing Date,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster
2.65,2358250,Elon,27244,3,2,1166,1,1986,2020-12-17,2021-01-07,180000,197500,21,17500,36.1029,-79.5067,0
2.65,2202465,Raleigh,27601,2,2,1251,1,2018,2018-07-09,2021-01-08,575500,587702,914,12202,35.7727,-78.6324,1
2.65,2170728,Raleigh,27601,2,2,1251,1,2018,2018-02-01,2021-01-08,535000,543546,1072,8546,35.7727,-78.6324,1
2.65,2175010,Cary,27511,2,2,1631,1,2019,2018-02-25,2021-01-05,450000,455904,1045,5904,35.7641,-78.7786,1
2.65,2355989,Raleigh,27609,2,2,942,1,1972,2020-12-02,2021-01-07,120000,125200,36,5200,35.848,-78.6317,3
2.65,2353501,Raleigh,27616,3,3,1622,1,2005,2020-11-13,2021-01-05,175000,178000,53,3000,35.8673,-78.5381,3
2.65,2202378,Cary,27511,2,2,1535,1,2018,2018-07-08,2021-01-07,441500,442909,914,1409,35.7641,-78.7786,1
2.65,2214749,Cary,27511,2,2,1631,1,2019,2018-09-14,2021-01-08,455000,455660,847,660,35.7641,-78.7786,1
2.65,2228380,Cary,27511,2,2,1535,1,2019,2018-12-17,2021-01-08,490000,490000,753,0,35.7641,-78.7786,1
2.65,2345029,Raleigh,27603,2,2,1260,1,2009,2020-09-25,2021-01-04,449900,449900,101,0,35.7076,-78.6563,1
2.65,2263333,Cary,27511,1,2,960,1,2019,2019-06-24,2021-01-08,335000,335000,564,0,35.7641,-78.7786,1
2.65,2356594,Cary,27511,2,2,1440,1,2001,2020-12-05,2021-01-07,330000,330000,33,0,35.7641,-78.7786,1
2.65,2187416,Cary,27511,2,2,1210,1,2018,2018-04-26,2021-01-06,395000,395000,986,0,35.7641,-78.7786,1
2.65,2356008,Durham,27701,1,1,600,1,1972,2020-12-02,2021-01-06,195000,195000,35,0,35.9967,-78.8966,2
2.65,2355339,Cary,27519,2,2,1633,1,2009,2020-11-25,2021-01-06,300000,300000,42,0,35.8072,-78.887,2
2.65,2352102,Raleigh,27605,1,1,500,1,1949,2020-11-04,2021-01-08,170000,170000,65,0,35.7908,-78.653,1
2.65,2343410,Raleigh,27603,3,3,1250,1,2002,2020-09-17,2021-01-04,159000,159000,109,0,35.7076,-78.6563,1
2.65,2351875,Cary,27513,2,2,1115,1,1989,2020-11-03,2021-01-06,169000,167500,64,-1500,35.7956,-78.7941,1
2.65,2341970,Durham,27713,2,2,1016,1,1986,2020-09-10,2021-01-08,149000,146500,120,-2500,35.9112,-78.9178,2
2.65,2356035,Chapel Hill,27517,2,2,921,1,1984,2020-12-02,2021-01-05,160000,156750,34,-3250,35.9182,-79.0035,2
2.65,2339382,Raleigh,27615,2,2,1080,1,1975,2020-08-26,2021-01-08,126900,123500,135,-3400,35.8887,-78.6393,3
