MLS #,City,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Date,Closing Date,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster,Price per SqFt
2442914,Chapel Hill,27516,3,2,1782,1,1949,2022-04-16,2022-06-30,1000000,1500000,75,500000,35.9162,-79.0999,1,841.7508417508418
2437799,Chapel Hill,27516,4,4,3157,1,2013,2022-03-21,2022-04-05,1600000,2000000,15,400000,35.9162,-79.0999,1,633.5128286347799
2498024,Chapel Hill,27516,3,3,2183,1,2013,2023-03-05,2023-03-24,1400000,1650000,19,250000,35.9162,-79.0999,1,755.8405863490609
2444529,Chapel Hill,27516,2,2,1128,5,2013,2022-04-25,2022-05-24,589900,755000,29,165100,35.9162,-79.0999,1,669.3262411347517
2443429,Raleigh,27612,2,2,1745,1,2006,2022-04-19,2022-04-29,450000,565000,10,115000,35.852,-78.6841,0,323.7822349570201
2350639,Raleigh,27605,3,4,2763,1,2021,2020-10-27,2022-03-11,1350000,1462616,500,112616,35.7908,-78.653,0,529.3579442634817
2436618,Raleigh,27603,1,1,954,1,2005,2022-03-15,2022-03-31,300000,405000,16,105000,35.7076,-78.6563,0,424.52830188679246
2527450,Raleigh,27612,3,3,2955,1,2002,2023-08-17,2023-09-21,780000,882500,35,102500,35.852,-78.6841,0,298.64636209813875
2499800,Chapel Hill,27517,3,3,1294,1,1974,2023-03-15,2023-04-10,325000,425000,26,100000,35.9182,-79.0035,1,328.4389489953632
2447994,Apex,27502,3,2,1424,1,2003,2022-05-10,2022-05-25,250000,350000,15,100000,35.7225,-78.8408,0,245.7865168539326
2436210,Chapel Hill,27516,3,2,1302,1,1998,2022-03-14,2022-05-13,399000,485000,60,86000,35.9162,-79.0999,1,372.50384024577573
2442004,Durham,27705,3,3,1720,1,1974,2022-04-12,2022-05-05,350000,435000,23,85000,36.0218,-78.9478,1,252.90697674418604
2513218,Chapel Hill,27517,2,2,1136,1,2008,2023-05-26,2023-06-19,570000,650000,24,80000,35.9182,-79.0035,1,572.1830985915493
2434887,Raleigh,27612,2,2,1786,1,2002,2022-03-06,2022-04-22,450000,527000,47,77000,35.852,-78.6841,0,295.07278835386336
2454899,Chapel Hill,27516,2,2,832,1,2009,2022-06-10,2022-07-15,499000,575000,35,76000,35.9162,-79.0999,1,691.1057692307693
2399357,Cary,27511,3,2,1554,1,2001,2021-08-02,2021-09-09,394500,470000,38,75500,35.7641,-78.7786,0,302.44530244530245
2436377,Raleigh,27608,2,1,675,1,1950,2022-03-14,2022-03-28,229900,305100,14,75200,35.8077,-78.6463,0,452.0
2413510,Wake Forest,27587,2,2,1721,1,2013,2021-10-14,2021-11-04,336900,410000,21,73100,35.9815,-78.5392,0,238.23358512492737
2440092,Raleigh,27603,1,1,950,1,2008,2022-04-01,2022-04-29,375000,446000,28,71000,35.7076,-78.6563,0,469.4736842105263
2350638,Raleigh,27605,3,4,3200,1,2021,2020-10-27,2022-02-17,1495000,1565036,478,70036,35.7908,-78.653,0,489.07375
2394667,Apex,27523,4,4,2502,1,2019,2021-07-09,2021-08-06,425000,492000,28,67000,35.7225,-78.8408,0,196.64268585131896
2414649,Chapel Hill,27516,2,1,961,1,2005,2021-10-20,2021-12-21,308000,375000,62,67000,35.9162,-79.0999,1,390.21852237252864
2440782,Chapel Hill,27517,2,2,1273,1,2008,2022-04-06,2022-04-25,450000,517000,19,67000,35.9182,-79.0035,1,406.12725844461903
2446658,Raleigh,27608,2,1,654,1,1950,2022-05-04,2022-05-31,249000,315000,27,66000,35.8077,-78.6463,0,481.651376146789
2426256,Durham,27705,3,3,2112,1,1974,2022-01-10,2022-02-15,389000,455000,36,66000,36.0218,-78.9478,1,215.43560606060606
2446490,Chapel Hill,27516,2,3,1316,1,1984,2022-05-03,2022-05-20,430000,495000,17,65000,35.9162,-79.0999,1,376.13981762917933
2428818,Morrisville,27560,2,2,1066,1,2011,2022-01-28,2022-03-08,260000,325000,39,65000,35.8344,-78.8466,1,304.8780487804878
2439094,Raleigh,27612,2,3,2077,1,2002,2022-03-29,2022-05-06,500000,565000,38,65000,35.852,-78.6841,0,272.0269619643717
2432140,Chapel Hill,27517,2,3,1140,1,1991,2022-02-18,2022-04-01,292000,353000,42,61000,35.9182,-79.0035,1,309.64912280701753
2430373,Raleigh,27615,2,3,1188,1,1984,2022-02-08,2022-04-01,250000,311000,52,61000,35.8887,-78.6393,0,261.7845117845118
2493005,Chapel Hill,27517,1,2,1306,1,2001,2023-02-01,2023-03-02,450000,510099,29,60099,35.9182,-79.0035,1,390.58116385911177
10009074,Apex,27502,2,2,1887,1,2014,2024-02-01,2024-02-21,515000,575000,20,60000,35.7225,-78.8408,0,304.7164811870694
2440617,Raleigh,27614,2,3,1300,1,2004,2022-04-05,2022-05-02,290000,350000,27,60000,35.9457,-78.6433,0,269.2307692307692
2414319,Cary,27511,2,2,1594,1,2001,2021-10-18,2021-11-16,395000,453000,29,58000,35.7641,-78.7786,0,284.19071518193226
2411702,Chapel Hill,27516,2,1,779,1,2005,2021-10-05,2021-11-05,288000,345000,31,57000,35.9162,-79.0999,1,442.87548138639283
2439525,Cary,27513,2,2,1047,1,1989,2022-03-31,2022-05-02,250000,306000,32,56000,35.7956,-78.7941,0,292.26361031518627
2433105,Durham,27705,3,4,2085,1,1974,2022-02-24,2022-03-21,425000,480000,25,55000,36.0218,-78.9478,1,230.2158273381295
2429784,Raleigh,27605,3,3,2462,1,2019,2022-02-03,2022-03-31,1595000,1650000,56,55000,35.7908,-78.653,0,670.1868399675061
2502568,Chapel Hill,27516,2,2,1121,1,2012,2023-03-31,2023-04-14,750000,805000,14,55000,35.9162,-79.0999,1,718.1088314005352
2382225,Raleigh,27605,3,4,2351,1,2004,2021-05-06,2021-05-25,565000,620000,19,55000,35.7908,-78.653,0,263.71756699276904
10014058,Chapel Hill,27516,2,3,1350,1,2012,2024-02-28,2024-03-25,895000,950000,26,55000,35.9162,-79.0999,1,703.7037037037037
2451727,Raleigh,27605,1,1,505,1,1949,2022-05-26,2022-07-01,250000,305000,36,55000,35.7908,-78.653,0,603.960396039604
2434002,Chapel Hill,27517,3,3,1379,1,1992,2022-03-01,2022-03-24,310000,362000,23,52000,35.9182,-79.0035,1,262.5090645395214
2516329,Raleigh,27615,3,3,1443,1,1986,2023-06-14,2023-07-19,285000,337000,35,52000,35.8887,-78.6393,0,233.54123354123354
2454375,Chapel Hill,27516,2,2,1348,1,2005,2022-06-08,2022-06-24,398900,450000,16,51100,35.9162,-79.0999,1,333.82789317507417
2445788,Raleigh,27604,2,2,1200,1,2009,2022-04-29,2022-06-03,275000,326000,35,51000,35.8334,-78.5799,0,271.6666666666667
2401760,Durham,27701,2,2,1486,1,2019,2021-08-14,2021-09-28,989000,1040000,45,51000,35.9967,-78.8966,1,699.8654104979812
2424730,Raleigh,27605,3,2,1440,1,1984,2021-12-29,2022-02-15,450000,501000,48,51000,35.7908,-78.653,0,347.9166666666667
10029737,Durham,27705,3,2,1838,1,1974,2024-05-16,2024-06-17,399000,449300,32,50300,36.0218,-78.9478,1,244.45048966267683
2370521,Durham,27701,3,2,1479,1,2014,2021-03-05,2021-10-15,574900,625000,224,50100,35.9967,-78.8966,1,422.58282623394183
2524377,Chapel Hill,27516,2,2,1176,1,2009,2023-07-31,2023-08-21,649000,699000,21,50000,35.9162,-79.0999,1,594.3877551020408
2450872,Raleigh,27612,2,2,968,1,1987,2022-05-23,2022-06-27,240000,290000,35,50000,35.852,-78.6841,0,299.58677685950414
2421275,Chapel Hill,27514,3,3,1579,1,1983,2021-11-30,2022-01-27,330000,380000,58,50000,35.9203,-79.0372,1,240.65864471184292
2396702,Raleigh,27617,3,3,1725,1,2013,2021-07-19,2021-08-20,350000,400000,32,50000,35.9034,-78.7447,0,231.8840579710145
2532582,Chapel Hill,27516,2,2,1221,1,2013,2023-09-15,2023-10-02,750000,800000,17,50000,35.9162,-79.0999,1,655.2006552006552
2430641,Cary,27513,2,2,1131,1,1986,2022-02-09,2022-02-25,250000,300000,16,50000,35.7956,-78.7941,0,265.2519893899204
2402698,Apex,27502,3,3,2322,1,2014,2021-08-19,2021-09-23,500000,550000,35,50000,35.7225,-78.8408,0,236.86477174849267
2447294,Wake Forest,27587,2,2,1410,1,2015,2022-05-06,2022-06-03,425000,475000,28,50000,35.9815,-78.5392,0,336.87943262411346
2429081,Raleigh,27612,2,2,1020,1,1985,2022-01-30,2022-03-03,240000,290000,32,50000,35.852,-78.6841,0,284.3137254901961
10004272,Chapel Hill,27514,2,2,883,1,1981,2024-01-03,2024-01-24,275000,325000,21,50000,35.9203,-79.0372,1,368.0634201585504
2440950,Cary,27518,2,2,1164,1,1996,2022-04-06,2022-05-06,300000,350000,30,50000,35.7299,-78.7735,0,300.6872852233677
2361393,Raleigh,27608,3,4,3024,1,2002,2021-01-13,2021-02-16,1100000,1150000,34,50000,35.8077,-78.6463,0,380.29100529100526
2494134,Littleton,27850,3,2,2222,4,2000,2023-02-08,2023-03-21,625000,675000,41,50000,36.4169,-77.8528,0,303.78037803780376
2405132,Cary,27511,2,2,1421,1,2004,2021-09-01,2021-10-21,400000,450000,50,50000,35.7641,-78.7786,0,316.6783954961295
2408894,Chapel Hill,27516,1,2,878,1,2001,2021-09-20,2021-10-27,250000,300000,37,50000,35.9162,-79.0999,1,341.6856492027335
2393996,Chapel Hill,27517,2,2,1137,1,1985,2021-07-06,2021-07-22,215000,263800,16,48800,35.9182,-79.0035,1,232.01407211961302
2433240,Morrisville,27560,2,2,1414,1,2002,2022-02-25,2022-03-31,280000,328500,34,48500,35.8344,-78.8466,1,232.31966053748232
2437957,Cary,27513,2,3,1486,1,1985,2022-03-22,2022-04-26,250000,297000,35,47000,35.7956,-78.7941,0,199.86541049798114
2437348,Cary,27513,2,2,1419,1,1997,2022-03-18,2022-04-26,300000,347000,39,47000,35.7956,-78.7941,0,244.538407329105
2390491,Chapel Hill,27517,2,2,1044,1,1991,2021-06-17,2021-07-26,224000,270500,39,46500,35.9182,-79.0035,1,259.09961685823754
2452508,Carrboro,27510,2,1,886,1,1979,2022-05-31,2022-06-21,246000,292500,21,46500,35.9055,-79.0901,1,330.1354401805869
2450482,Raleigh,27604,3,3,2195,1,2015,2022-05-20,2022-06-30,619500,665000,41,45500,35.8334,-78.5799,0,302.9612756264237
2425591,Chapel Hill,27517,2,3,1160,1,1974,2022-01-05,2022-01-31,250000,295500,26,45500,35.9182,-79.0035,1,254.74137931034483
2383715,Durham,27703,2,3,1348,1,2006,2021-05-13,2021-06-17,249900,295000,35,45100,35.9781,-78.8439,1,218.84272997032642
2392899,Raleigh,27605,2,2,1118,1,2022,2021-06-30,2023-04-24,499900,544900,663,45000,35.7908,-78.653,0,487.3881932021467
2439238,Cary,27511,1,1,841,1,1985,2022-03-29,2022-04-18,230000,275000,20,45000,35.7641,-78.7786,0,326.9916765755053
2450855,Chapel Hill,27516,1,2,771,1,1998,2022-05-23,2022-06-17,220000,265000,25,45000,35.9162,-79.0999,1,343.7094682230869
2452086,Raleigh,27608,2,1,675,1,1950,2022-05-27,2022-06-28,275000,320000,32,45000,35.8077,-78.6463,0,474.0740740740741
2441099,Cary,27513,2,2,1146,1,1986,2022-04-07,2022-05-09,260000,305000,32,45000,35.7956,-78.7941,0,266.1431064572426
2415719,Cary,27519,2,3,1364,1,2004,2021-10-26,2021-11-30,260100,305000,35,44900,35.8072,-78.887,1,223.60703812316714
2391915,Chapel Hill,27517,2,3,1125,1,1991,2021-06-24,2021-07-13,235000,278000,19,43000,35.9182,-79.0035,1,247.11111111111111
2434734,Morrisville,27560,2,2,1154,1,2001,2022-03-04,2022-04-01,290000,332500,28,42500,35.8344,-78.8466,1,288.12824956672443
2447755,Gibsonville,27249,2,2,1546,1,2010,2022-05-09,2022-06-22,275000,317000,44,42000,36.1183,-79.5685,4,205.04527813712807
2428988,Chapel Hill,27517,2,2,955,1,1985,2022-01-29,2022-02-23,183000,225000,25,42000,35.9182,-79.0035,1,235.6020942408377
2451280,Chapel Hill,27516,1,2,756,1,1998,2022-05-24,2022-06-09,225000,267000,16,42000,35.9162,-79.0999,1,353.1746031746032
2377751,Carrboro,27510,2,2,1039,1,1981,2021-04-15,2021-06-23,186000,227000,69,41000,35.9055,-79.0901,1,218.47930702598651
