Mortgage Rates,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Date,Closing Date,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster,List Year,List Month,Closing Year,Closing Month,Price Increase Percentage,Age of Property,Geo Cluster,Log Sold Price
2.65,27244,3,2,-0.09228438546873871,-0.11033614216926044,1986,2020-12-17,2021-01-07,-0.8331818652252764,197500.0,-1.0117109778335522,17500,36.1029,-79.5067,0,2020,12,2021,1,1.4852079762837354,0.25765190872306915,3,12.193498926601634
2.65,27601,2,2,0.13037927548628206,-0.11033614216926044,2018,2018-07-09,2021-01-08,1.9097540236068853,587702.0,2.0699457815989706,12202,35.7727,-78.6324,1,2018,7,2021,1,0.1625242369044347,-1.2402380585054917,0,13.28397699723294
2.65,27601,2,2,0.13037927548628206,-0.11033614216926044,2018,2018-02-01,2021-01-08,1.6288718403004314,543546.0,2.0699457815989706,8546,35.7727,-78.6324,1,2018,2,2021,1,0.07155074935026022,-1.2402380585054917,0,13.20587145834546
2.65,27511,2,2,1.1258168185793163,-0.11033614216926044,2019,2018-02-25,2021-01-05,1.0393660234844169,455904.0,2.0699457815989706,5904,35.7641,-78.7786,1,2018,2,2021,1,0.021896351373878492,-1.2870471199813842,0,13.030039733458786
2.65,27609,2,2,-0.6790686213972641,-0.11033614216926044,1972,2020-12-02,2021-01-07,-1.2493036182718749,125200.0,-0.5895662162674533,5200,35.848,-78.6317,3,2020,12,2021,1,0.5475842669336316,0.9129787693855644,4,11.737675724836684
2.65,27616,3,3,1.1022406662429023,-0.11033614216926044,2005,2020-11-13,2021-01-05,-0.8678586779791596,178000.0,-0.11113548649254106,3000,35.8673,-78.5381,3,2020,11,2021,1,0.09189085885478876,-0.6317202593188889,4,12.08954444723597
2.65,27511,2,2,0.8743378603242339,-0.11033614216926044,2018,2018-07-08,2021-01-07,0.9804154418028154,442909.0,2.0699457815989706,1409,35.7641,-78.7786,1,2018,7,2021,1,-0.15085349625035444,-1.2402380585054917,0,13.001121868116549
2.65,27511,2,2,1.1258168185793163,-0.11033614216926044,2019,2018-09-14,2021-01-08,1.0740428362383,455660.0,2.0699457815989706,660,35.7641,-78.7786,1,2018,9,2021,1,-0.1811427859297934,-1.2870471199813842,0,13.029504390969427
2.65,27511,2,2,0.8743378603242339,-0.11033614216926044,2019,2018-12-17,2021-01-08,1.3167805255154825,490000.0,2.0699457815989706,0,35.7641,-78.7786,1,2018,12,2021,1,-0.2063811900695447,-1.2870471199813842,0,13.102162710901053
2.65,27603,2,2,0.15395542782269603,-0.11033614216926044,2009,2020-09-25,2021-01-04,1.0386724872293391,449900.0,1.2397277505189757,0,35.7076,-78.6563,1,2020,9,2021,1,-0.2063811900695447,-0.8189565052224589,0,13.016782837542953
