Mortgage Rates,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster
2.65,27244,3,2,1166,1,1986,180000,197500,21,17500,36.1029,-79.5067,2
2.65,27601,2,2,1251,1,2018,575500,587702,914,12202,35.7727,-78.6324,0
2.65,27601,2,2,1251,1,2018,535000,543546,1072,8546,35.7727,-78.6324,0
2.65,27511,2,2,1631,1,2019,450000,455904,1045,5904,35.7641,-78.7786,0
2.65,27609,2,2,942,1,1972,120000,125200,36,5200,35.848,-78.6317,3
2.65,27616,3,3,1622,1,2005,175000,178000,53,3000,35.8673,-78.5381,3
2.65,27511,2,2,1535,1,2018,441500,442909,914,1409,35.7641,-78.7786,0
2.65,27511,2,2,1631,1,2019,455000,455660,847,660,35.7641,-78.7786,0
2.65,27511,2,2,1535,1,2019,490000,490000,753,0,35.7641,-78.7786,0
2.65,27603,2,2,1260,1,2009,449900,449900,101,0,35.7076,-78.6563,0
2.65,27511,1,2,960,1,2019,335000,335000,564,0,35.7641,-78.7786,0
2.65,27511,2,2,1440,1,2001,330000,330000,33,0,35.7641,-78.7786,0
2.65,27511,2,2,1210,1,2018,395000,395000,986,0,35.7641,-78.7786,0
2.65,27701,1,1,600,1,1972,195000,195000,35,0,35.9967,-78.8966,1
2.65,27519,2,2,1633,1,2009,300000,300000,42,0,35.8072,-78.887,1
2.65,27605,1,1,500,1,1949,170000,170000,65,0,35.7908,-78.653,0
2.65,27603,3,3,1250,1,2002,159000,159000,109,0,35.7076,-78.6563,0
2.65,27513,2,2,1115,1,1989,169000,167500,64,-1500,35.7956,-78.7941,0
2.65,27713,2,2,1016,1,1986,149000,146500,120,-2500,35.9112,-78.9178,1
2.65,27517,2,2,921,1,1984,160000,156750,34,-3250,35.9182,-79.0035,1
2.65,27615,2,2,1080,1,1975,126900,123500,135,-3400,35.8887,-78.6393,3
2.65,27587,2,2,1801,1,2014,335000,331500,63,-3500,35.9815,-78.5392,3
2.65,27615,2,2,1100,1,2003,207500,203000,52,-4500,35.8887,-78.6393,3
2.65,27701,1,1,576,6,1974,172000,167000,49,-5000,35.9967,-78.8966,1
2.65,27517,2,2,975,1,1988,170000,165000,47,-5000,35.9182,-79.0035,1
2.65,27514,3,2,1467,1,2002,294500,285500,67,-9000,35.9203,-79.0372,1
2.65,27516,3,3,1694,1,2009,285000,275000,51,-10000,35.9162,-79.0999,1
2.79,27601,2,2,1421,1,2018,661500,690003,1035,28503,35.7727,-78.6324,0
2.79,27601,3,3,1815,1,2018,935000,958039,1022,23039,35.7727,-78.6324,0
2.79,27601,1,1,903,1,2018,465000,480381,936,15381,35.7727,-78.6324,0
2.79,27605,3,3,2582,1,2020,950000,956890,269,6890,35.7908,-78.653,0
2.79,27604,3,4,1808,1,2016,334000,340000,56,6000,35.8334,-78.5799,3
2.79,27606,4,4,1391,1,2000,190000,196000,61,6000,35.7645,-78.7112,0
2.79,27713,1,1,692,1,1986,115000,120000,45,5000,35.9112,-78.9178,1
2.79,27601,2,2,1215,1,2000,365000,370000,43,5000,35.7727,-78.6324,0
2.79,27540,1,2,750,1,2003,155000,158500,52,3500,35.6263,-78.8458,0
2.79,27603,2,2,1375,1,2005,489000,489000,32,0,35.7076,-78.6563,0
2.79,27703,3,2,1148,1,2006,185000,185000,36,0,35.9781,-78.8439,1
2.79,27615,3,3,1340,1,1983,171000,171000,45,0,35.8887,-78.6393,3
2.79,27603,2,2,1236,1,2008,344900,342500,251,-2400,35.7076,-78.6563,0
2.79,27616,2,2,923,1,1986,115000,110100,154,-4900,35.8673,-78.5381,3
2.79,27514,2,2,1263,1,2004,255000,243500,64,-11500,35.9203,-79.0372,1
2.79,27511,2,2,1084,1,1985,205000,186000,50,-19000,35.7641,-78.7786,0
2.79,27701,2,2,2020,1,2019,915000,895000,280,-20000,35.9967,-78.8966,1
2.77,27615,2,2,1008,1,1974,145000,158000,64,13000,35.8887,-78.6393,3
2.77,27609,2,2,1082,1,1972,125000,132500,33,7500,35.848,-78.6317,3
2.77,27606,2,2,1102,1,1972,99900,103318,93,3418,35.7645,-78.7112,0
2.77,27604,1,2,660,1,2004,159900,160000,46,100,35.8334,-78.5799,3
2.77,27517,2,2,929,1,2003,120000,120000,75,0,35.9182,-79.0035,1
2.77,27511,1,2,960,1,2019,337500,337500,1042,0,35.7641,-78.7786,0
2.77,27514,2,1,800,1,1967,94900,94900,72,0,35.9203,-79.0372,1
2.77,27514,1,1,575,1,1955,90000,90000,221,0,35.9203,-79.0372,1
2.77,27215,3,2,1689,1,2006,165000,165000,41,0,36.0318,-79.4889,2
2.77,27610,2,1,655,1,1982,169900,169900,250,0,35.7667,-78.6008,0
2.77,27249,2,2,1811,1,2013,300000,300000,22,0,36.1183,-79.5685,2
2.77,27610,2,1,773,1,1982,165000,164000,91,-1000,35.7667,-78.6008,0
2.77,27713,2,2,1243,1,1986,160000,158000,38,-2000,35.9112,-78.9178,1
2.77,27514,2,3,850,1,1984,89900,87500,17,-2400,35.9203,-79.0372,1
2.77,27587,3,3,1662,1,1997,239900,237000,50,-2900,35.9815,-78.5392,3
2.77,27604,2,2,904,1,1981,106000,102000,50,-4000,35.8334,-78.5799,3
2.77,27510,2,1,760,1,1982,160000,155000,129,-5000,35.9055,-79.0901,1
2.77,27587,3,2,1294,1,1918,230000,225000,42,-5000,35.9815,-78.5392,3
2.77,27703,2,2,1297,1,2008,250000,245000,98,-5000,35.9781,-78.8439,1
2.77,27603,2,2,1094,1,2008,378000,369000,71,-9000,35.7076,-78.6563,0
2.77,27612,2,2,1848,1,2006,399900,386250,22,-13650,35.852,-78.6841,3
2.77,27617,3,3,2081,1,2009,354900,341000,88,-13900,35.9034,-78.7447,3
2.73,27601,2,2,1357,1,2018,619000,630513,753,11513,35.7727,-78.6324,0
2.73,27510,2,2,960,1,1983,210000,220000,20,10000,35.9055,-79.0901,1
2.73,27601,2,2,1032,1,2018,419500,426960,1001,7460,35.7727,-78.6324,0
2.73,27513,2,2,1028,1,1984,165000,170000,16,5000,35.7956,-78.7941,0
2.73,27215,2,2,1045,1,1994,127000,132000,33,5000,36.0318,-79.4889,2
2.73,27514,3,2,1112,1,1981,179900,183600,41,3700,35.9203,-79.0372,1
2.73,27215,2,1,750,1,1950,68000,69000,29,1000,36.0318,-79.4889,2
2.73,27511,2,2,1535,1,2019,435000,435000,1049,0,35.7641,-78.7786,0
2.73,27606,2,2,1028,1,1968,146000,146000,109,0,35.7645,-78.7112,0
2.73,28314,3,2,1200,1,1991,55000,55000,2,0,35.0583,-79.008,4
2.73,27514,2,2,850,1,1984,82000,82000,29,0,35.9203,-79.0372,1
2.73,27514,1,1,700,1,1967,62000,60000,39,-2000,35.9203,-79.0372,1
2.73,27603,1,1,823,1,2008,259000,257000,124,-2000,35.7076,-78.6563,0
2.73,27514,2,3,850,1,1984,89900,87000,22,-2900,35.9203,-79.0372,1
2.73,27510,1,1,620,1,1982,169900,166500,61,-3400,35.9055,-79.0901,1
2.73,27703,1,2,992,1,2008,185000,181000,50,-4000,35.9781,-78.8439,1
2.73,27514,2,2,944,1,1967,159900,155000,31,-4900,35.9203,-79.0372,1
2.73,27603,3,3,1257,1,2002,175000,169000,54,-6000,35.7076,-78.6563,0
2.73,27517,2,2,1105,1,1991,200000,193500,61,-6500,35.9182,-79.0035,1
2.73,27215,3,2,1288,1,2006,129900,122500,63,-7400,36.0318,-79.4889,2
2.73,27713,1,1,697,1,1986,118000,110000,51,-8000,35.9112,-78.9178,1
2.73,27606,2,1,909,1,1972,110000,99000,123,-11000,35.7645,-78.7112,0
2.73,27529,2,3,1440,1,1999,150000,165000,55,15000,35.6813,-78.5975,0
2.73,27215,2,3,1104,1,1988,115000,125000,58,10000,36.0318,-79.4889,2
2.73,27615,3,3,1350,1,1979,175000,185000,26,10000,35.8887,-78.6393,3
2.73,27609,2,2,939,1,1972,122000,130500,27,8500,35.848,-78.6317,3
2.73,27616,1,2,1006,1,1986,105000,110000,43,5000,35.8673,-78.5381,3
2.73,27615,2,3,1262,1,1985,189900,190000,42,100,35.8887,-78.6393,3
2.73,27713,2,2,1036,1,1986,143000,143000,181,0,35.9112,-78.9178,1
2.73,27517,2,2,940,1,1984,156000,156000,49,0,35.9182,-79.0035,1
2.73,27616,3,3,1700,1,2005,165000,164000,61,-1000,35.8673,-78.5381,3
2.73,27605,2,2,1021,1,1986,292000,290000,76,-2000,35.7908,-78.653,0
2.73,27713,2,2,830,1,1986,144900,142500,64,-2400,35.9112,-78.9178,1
2.73,27606,2,1,925,1,1972,115900,113250,63,-2650,35.7645,-78.7112,0
2.73,27253,2,3,1332,1,1974,136000,131980,97,-4020,36.031,-79.3814,2
2.73,27615,2,2,1076,1,2000,187900,183000,50,-4900,35.8887,-78.6393,3
2.73,27514,2,3,1344,1,1974,149900,142000,55,-7900,35.9203,-79.0372,1
2.73,27703,2,3,1338,1,2008,250000,240000,37,-10000,35.9781,-78.8439,1
2.73,27612,3,2,1451,1,1972,200000,210000,33,10000,35.852,-78.6841,3
2.73,27606,2,2,1140,1,1972,135000,145000,22,10000,35.7645,-78.7112,0
2.73,27560,3,2,1346,1,2000,207000,214000,41,7000,35.8344,-78.8466,1
2.73,27606,4,4,1219,1,1999,195000,201000,26,6000,35.7645,-78.7112,0
