MLS #,City,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Date,Closing Date,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster,Price per SqFt
2509707,Cary,27511,4,4,6115,1,1985,2023-05-08,2023-06-12,1049900,1275000,35,225100,35.7641,-78.7786,2,208.50367947669665
2444544,Chapel Hill,27517,4,5,4049,1,2004,2022-04-25,2022-06-07,1090000,1300000,43,210000,35.9182,-79.0035,1,321.06693010619904
2320632,Durham,27707,3,5,2763,1,2020,2020-05-22,2021-08-05,575000,729840,440,154840,35.9631,-78.9315,1,264.14766558089036
2428221,Cary,27511,3,4,3477,1,2004,2022-01-24,2022-02-09,949900,1100000,16,150100,35.7641,-78.7786,2,316.36468219729653
10018970,Chapel Hill,27517,4,5,4049,1,2004,2024-04-06,2024-04-17,1350000,1500000,11,150000,35.9182,-79.0035,1,370.4618424302297
2475238,Chapel Hill,27517,3,5,3908,1,2004,2022-09-21,2022-10-18,1350000,1500000,27,150000,35.9182,-79.0035,1,383.82804503582395
2492270,Raleigh,27605,3,5,3350,1,2019,2023-01-26,2023-02-16,1500000,1650000,21,150000,35.7908,-78.653,0,492.53731343283584
2456097,Raleigh,27612,3,3,2559,1,2013,2022-06-15,2022-07-21,685000,825000,36,140000,35.852,-78.6841,0,322.3915592028136
2353812,Cary,27511,3,4,2471,1,2022,2020-11-15,2022-06-06,900000,1033800,568,133800,35.7641,-78.7786,2,418.3731282881424
2405051,Durham,27712,3,3,2051,1,2018,2021-08-14,2021-09-16,325000,456900,33,131900,36.0918,-78.9299,1,222.76938078985862
2468236,Durham,27705,3,3,2397,1,2006,2022-08-12,2022-11-02,700000,828000,82,128000,36.0218,-78.9478,1,345.43178973717147
2443689,Raleigh,27615,4,4,3184,1,1984,2022-04-20,2022-05-31,475000,600000,41,125000,35.8887,-78.6393,0,188.44221105527637
2439043,Raleigh,27615,3,3,2700,1,2004,2022-03-28,2022-05-05,550000,675000,38,125000,35.8887,-78.6393,0,250.0
2373345,Cary,27511,3,4,2471,1,2022,2021-03-22,2022-07-18,975000,1099310,483,124310,35.7641,-78.7786,2,444.8846620801295
2389834,Durham,27701,2,4,1847,1,2021,2021-04-15,2021-10-05,539000,658700,173,119700,35.9967,-78.8966,1,356.6323768272875
2450634,Raleigh,27615,3,3,2314,1,1985,2022-05-20,2022-06-21,459000,575000,32,116000,35.8887,-78.6393,0,248.4874675885912
2438109,Apex,27523,4,4,2649,1,2020,2022-03-23,2022-04-29,500000,615500,37,115500,35.7225,-78.8408,2,232.3518308795772
2499080,Raleigh,27612,3,4,3466,1,2013,2023-03-10,2023-03-31,985000,1100000,21,115000,35.852,-78.6841,0,317.36872475476054
2445295,Chapel Hill,27517,3,3,2313,1,2010,2022-04-28,2022-05-20,400000,515000,22,115000,35.9182,-79.0035,1,222.65456117596196
2433305,Raleigh,27612,3,3,2969,1,2000,2022-02-24,2022-03-31,645000,760000,35,115000,35.852,-78.6841,0,255.97844392051195
2428971,Pittsboro,27312,3,3,2713,1,1997,2022-01-29,2022-02-24,489000,600000,26,111000,35.7694,-79.1755,1,221.15739034279395
2430728,Raleigh,27617,3,3,2893,1,2005,2022-02-09,2022-03-25,490000,600000,44,110000,35.9034,-78.7447,0,207.39716557207052
2435530,Apex,27523,3,3,2450,1,2019,2022-03-09,2022-04-28,450000,556500,50,106500,35.7225,-78.8408,2,227.14285714285714
2438849,Raleigh,27608,3,4,2223,1,1989,2022-03-27,2022-05-31,660000,765000,65,105000,35.8077,-78.6463,0,344.12955465587044
2426993,Apex,27523,3,3,1878,1,2018,2022-01-14,2022-02-14,355000,460000,31,105000,35.7225,-78.8408,2,244.94142705005325
2430371,Cary,27511,2,2,1202,1,1985,2022-02-08,2022-03-18,325000,427575,38,102575,35.7641,-78.7786,2,355.7196339434276
2438851,Raleigh,27613,3,3,1787,1,2005,2022-03-27,2022-04-26,370000,471000,30,101000,35.8949,-78.7051,0,263.57022943480695
2419738,Cary,27513,3,4,2401,1,1990,2021-11-18,2021-12-28,779000,880000,40,101000,35.7956,-78.7941,2,366.5139525197834
2440678,Chapel Hill,27516,3,4,2205,1,2012,2022-04-05,2022-05-05,439900,540000,30,100100,35.9162,-79.0999,1,244.89795918367346
2439135,Raleigh,27614,3,5,4416,1,2013,2022-03-29,2022-05-23,699900,800000,55,100100,35.9457,-78.6433,0,181.15942028985506
2440731,Pittsboro,27312,3,2,1956,1,1983,2022-04-05,2022-05-04,329900,430000,29,100100,35.7694,-79.1755,1,219.83640081799592
2507466,Cary,27511,3,4,4512,1,2005,2023-04-27,2023-05-30,1500000,1600000,33,100000,35.7641,-78.7786,2,354.6099290780142
2490091,Cary,27511,3,4,3480,1,2004,2023-01-12,2023-01-31,1100000,1200000,19,100000,35.7641,-78.7786,2,344.82758620689657
2438934,Cary,27511,3,3,1866,1,1995,2022-03-28,2022-04-20,400000,500000,23,100000,35.7641,-78.7786,2,267.9528403001072
2388539,Durham,27707,3,3,2613,1,2007,2021-06-08,2021-07-09,625000,725000,31,100000,35.9631,-78.9315,1,277.4588595484118
2384957,Chapel Hill,27516,4,4,2672,1,2005,2021-05-20,2021-07-09,389000,489000,50,100000,35.9162,-79.0999,1,183.00898203592814
2446054,Raleigh,27607,4,4,2389,1,2011,2022-05-01,2022-05-27,500000,600000,26,100000,35.8014,-78.6877,0,251.15110925073253
2445345,Cary,27519,3,4,2292,1,2004,2022-04-28,2022-05-31,450000,550000,33,100000,35.8072,-78.887,1,239.9650959860384
2436739,Cary,27519,3,4,3175,1,2011,2022-03-16,2022-05-13,585000,685000,58,100000,35.8072,-78.887,1,215.748031496063
2438985,Cary,27519,3,3,1886,1,2019,2022-03-28,2022-05-02,500000,600000,35,100000,35.8072,-78.887,1,318.1336161187699
2349143,Cary,27511,3,4,2471,1,2021,2020-10-17,2021-10-21,810000,907390,369,97390,35.7641,-78.7786,2,367.2157021448806
2354669,Cary,27511,3,4,2471,1,2022,2020-11-20,2022-05-16,850000,946565,542,96565,35.7641,-78.7786,2,383.069607446378
2429475,Raleigh,27615,3,3,2595,1,2008,2022-02-02,2022-03-07,515000,611000,33,96000,35.8887,-78.6393,0,235.45279383429673
2447120,Durham,27713,3,3,1924,1,2020,2022-05-06,2022-06-08,350000,442000,33,92000,35.9112,-78.9178,1,229.72972972972974
2368808,Durham,27703,4,4,2227,1,2021,2021-02-25,2021-09-09,353240,444780,196,91540,35.9781,-78.8439,1,199.72159856308934
10005080,Durham,27704,3,3,2054,1,2023,2024-01-01,2024-02-28,340400,431800,58,91400,36.0383,-78.8764,1,210.22395326192793
2328700,Cary,27511,3,4,2471,1,2020,2020-07-02,2021-03-17,725000,816223,258,91223,35.7641,-78.7786,2,330.320922703359
2392227,Morrisville,27560,3,3,2009,1,2010,2021-06-25,2021-08-04,382900,473999,40,91099,35.8344,-78.8466,1,235.9377799900448
2421161,Apex,27502,3,4,2524,1,2017,2021-11-29,2021-12-30,449000,540000,31,91000,35.7225,-78.8408,2,213.946117274168
2390338,Raleigh,27615,3,5,4342,1,2005,2021-06-17,2021-07-23,599000,689900,36,90900,35.8887,-78.6393,0,158.88991248272686
2440750,Raleigh,27609,3,2,1471,1,1979,2022-04-06,2022-04-29,310000,400500,23,90500,35.848,-78.6317,0,272.2637661454793
2447663,Chapel Hill,27516,2,2,1288,1,1975,2022-05-09,2022-06-17,260000,350000,39,90000,35.9162,-79.0999,1,271.7391304347826
2434979,Raleigh,27617,3,3,2811,1,2003,2022-03-07,2022-04-11,565000,655000,35,90000,35.9034,-78.7447,0,233.01316257559589
2436276,Durham,27705,2,2,1193,1,1988,2022-03-14,2022-04-11,235000,325000,28,90000,36.0218,-78.9478,1,272.4224643755239
2440523,Raleigh,27615,3,3,1829,1,1985,2022-04-04,2022-04-29,360000,450000,25,90000,35.8887,-78.6393,0,246.03608529250957
2440084,Chapel Hill,27516,3,4,2208,1,1996,2022-04-01,2022-04-29,465000,555000,28,90000,35.9162,-79.0999,1,251.3586956521739
2370960,Cary,27511,3,4,2471,1,2022,2021-03-09,2021-10-01,830000,918340,206,88340,35.7641,-78.7786,2,371.64710643464184
2413576,Holly Springs,27540,3,3,1607,1,2013,2021-10-14,2021-11-19,265000,353000,36,88000,35.6263,-78.8458,2,219.66397013067828
2471945,Raleigh,27612,3,2,1896,1,1993,2022-09-01,2022-10-03,349000,436000,32,87000,35.852,-78.6841,0,229.957805907173
2441064,Morrisville,27560,4,3,2453,1,2020,2022-04-07,2022-05-03,455000,542000,26,87000,35.8344,-78.8466,1,220.95393395841828
2443795,Cary,27513,3,3,2068,1,2013,2022-04-21,2022-05-25,435000,521000,34,86000,35.7956,-78.7941,2,251.93423597678918
2436904,Cary,27511,2,2,1251,1,1986,2022-03-17,2022-04-11,339500,425000,25,85500,35.7641,-78.7786,2,339.72821742605913
2422989,Morrisville,27560,3,3,1692,1,2000,2021-12-12,2021-12-30,395000,480225,18,85225,35.8344,-78.8466,1,283.82092198581563
