Mortgage Rates,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster,Price per SqFt
2.65,27707,3,4,2339,1,2020,301980,319129,198,17149,35.9631,-78.9315,1,136.4382214621633
2.65,27587,3,3,1570,1,2002,199000,215000,29,16000,35.9815,-78.5392,4,136.94267515923568
2.65,27511,3,3,1464,1,1992,249900,264774,61,14874,35.7641,-78.7786,1,180.8565573770492
2.65,27603,3,4,1732,1,2020,283645,296550,215,12905,35.7076,-78.6563,4,171.21824480369514
2.65,27713,3,4,2337,1,1985,229900,242500,63,12600,35.9112,-78.9178,1,103.76551133932392
2.65,27610,4,3,1633,1,2017,189900,200000,37,10100,35.7667,-78.6008,4,122.4739742804654
2.65,27519,3,3,2020,1,1996,345000,355000,41,10000,35.8072,-78.887,1,175.74257425742573
2.65,27713,3,4,1876,1,2012,230000,238000,47,8000,35.9112,-78.9178,1,126.86567164179104
2.65,27713,3,3,1345,1,2003,225000,233000,43,8000,35.9112,-78.9178,1,173.23420074349443
2.65,27278,3,3,1634,1,2018,259900,266000,38,6100,36.0756,-79.0914,3,162.7906976744186
2.65,27540,3,3,1851,1,2013,270000,276000,36,6000,35.6263,-78.8458,1,149.10858995137764
2.65,27707,3,3,2339,1,2020,320643,326353,196,5710,35.9631,-78.9315,1,139.52672082086363
2.65,27606,2,3,1245,1,1986,174500,180000,77,5500,35.7645,-78.7112,2,144.57831325301206
2.65,27609,3,3,1377,1,1995,179900,185000,33,5100,35.848,-78.6317,2,134.35003631082063
2.65,27705,2,3,1400,1,1988,169900,175000,45,5100,36.0218,-78.9478,1,125.0
2.65,27612,3,3,1401,1,2003,225000,230000,47,5000,35.852,-78.6841,2,164.1684511063526
2.65,27510,3,2,1100,1,1981,175000,180000,0,5000,35.9055,-79.0901,1,163.63636363636363
2.65,27713,2,3,1681,1,2005,225000,230000,53,5000,35.9112,-78.9178,1,136.82331945270673
2.65,27513,3,4,2001,1,2006,282500,287500,32,5000,35.7956,-78.7941,1,143.67816091954023
2.65,27613,2,2,850,1,1989,185000,190000,51,5000,35.8949,-78.7051,2,223.52941176470588
2.65,27617,3,3,2200,1,2015,350000,355000,42,5000,35.9034,-78.7447,2,161.36363636363637
2.65,27704,3,3,1710,1,2016,225000,228000,36,3000,36.0383,-78.8764,1,133.33333333333334
2.65,27610,3,3,1719,1,2006,168000,170000,36,2000,35.7667,-78.6008,4,98.89470622454915
2.65,27610,4,3,2055,1,2010,211000,212900,44,1900,35.7667,-78.6008,4,103.60097323600974
2.65,27278,4,3,2391,1,2004,285000,286500,33,1500,36.0756,-79.0914,3,119.82434127979924
2.65,27615,4,3,3105,1,2012,484900,486000,47,1100,35.8887,-78.6393,2,156.52173913043478
2.65,27604,2,3,1081,1,1998,172000,173000,38,1000,35.8334,-78.5799,4,160.03700277520815
2.65,27527,3,3,1603,1,2018,205000,206000,59,1000,35.6577,-78.3837,0,128.50904553961325
2.65,27613,2,4,1933,1,2003,255000,256000,37,1000,35.8949,-78.7051,2,132.43662700465595
2.65,27523,4,4,2582,1,2020,404418,404811,6,393,35.7225,-78.8408,1,156.78195197521302
2.65,27587,3,4,2208,2,2020,309697,309967,198,270,35.9815,-78.5392,4,140.38360507246378
2.65,27615,3,3,1870,1,1997,299900,300000,55,100,35.8887,-78.6393,2,160.42780748663102
2.65,27703,3,3,1540,1,2015,224900,225000,57,100,35.9781,-78.8439,1,146.1038961038961
2.65,27610,3,3,1739,1,2006,173900,174000,69,100,35.7667,-78.6008,4,100.05750431282348
2.65,27606,2,3,1372,1,1986,181900,182000,79,100,35.7645,-78.7112,2,132.6530612244898
2.65,27513,4,4,2073,1,2006,289900,290000,127,100,35.7956,-78.7941,1,139.8938736131211
2.65,27614,4,4,3451,1,2015,519900,519900,115,0,35.9457,-78.6433,2,150.6519849319038
2.65,27519,3,3,2004,1,2015,342900,342900,29,0,35.8072,-78.887,1,171.10778443113773
2.65,27616,3,3,2037,1,2020,334993,334993,190,0,35.8673,-78.5381,4,164.45409916543937
2.65,27529,3,3,1840,1,2020,255000,255000,67,0,35.6813,-78.5975,4,138.58695652173913
2.65,27520,3,3,1647,1,2020,229999,229999,201,0,35.6348,-78.451,0,139.64723740133576
2.65,27609,3,2,1250,1,1966,280000,280000,59,0,35.848,-78.6317,2,224.0
2.65,27530,2,3,1276,2,1982,79900,79900,146,0,35.3683,-78.0929,0,62.61755485893417
2.65,27615,2,2,945,1,1983,158000,158000,104,0,35.8887,-78.6393,2,167.1957671957672
2.65,27519,3,4,2128,1,2016,340000,340000,13,0,35.8072,-78.887,1,159.77443609022558
2.65,27519,3,3,1618,1,2020,338100,338100,59,0,35.8072,-78.887,1,208.96168108776263
2.65,27516,2,3,1100,1,1985,215900,215900,55,0,35.9162,-79.0999,1,196.27272727272728
2.65,27615,3,3,1711,1,1998,284000,284000,0,0,35.8887,-78.6393,2,165.98480420806547
2.65,27539,3,3,1856,1,2016,283700,283700,30,0,35.7225,-78.8408,1,152.85560344827587
2.65,27527,3,3,1603,1,2020,219700,219700,153,0,35.6577,-78.3837,0,137.05552089831565
2.65,27617,3,4,2050,1,2013,305000,305000,44,0,35.9034,-78.7447,2,148.78048780487805
2.65,27502,3,3,1358,1,2001,208000,208000,67,0,35.7225,-78.8408,1,153.16642120765832
2.65,27713,2,3,1316,1,2007,205000,205000,55,0,35.9112,-78.9178,1,155.77507598784194
2.65,27527,3,3,1603,1,2021,245000,245000,84,0,35.6577,-78.3837,0,152.83842794759826
2.65,27705,2,3,1464,1,2012,247900,247900,52,0,36.0218,-78.9478,1,169.3306010928962
2.65,27703,3,3,2198,1,2020,307565,307565,220,0,35.9781,-78.8439,1,139.9294813466788
2.65,27609,2,3,1486,1,1974,184999,184999,171,0,35.848,-78.6317,2,124.49461641991924
2.65,27703,3,3,1492,1,2015,260000,258500,42,-1500,35.9781,-78.8439,1,173.2573726541555
2.65,27519,3,4,2601,1,2019,379900,378000,199,-1900,35.8072,-78.887,1,145.32871972318338
2.65,27713,3,3,1957,1,2002,265000,263000,56,-2000,35.9112,-78.9178,1,134.38937148696985
2.65,27525,3,3,2037,1,2009,245000,243000,67,-2000,36.0955,-78.4486,4,119.29307805596466
2.65,27614,3,3,1680,1,2005,185000,183000,56,-2000,35.9457,-78.6433,2,108.92857142857144
2.65,27510,3,3,2330,1,2007,360000,358000,48,-2000,35.9055,-79.0901,1,153.6480686695279
2.65,27609,3,3,1933,1,1983,249900,247500,51,-2400,35.848,-78.6317,2,128.039317123642
2.65,27545,3,3,1400,1,2003,189900,187500,50,-2400,35.7789,-78.4898,4,133.92857142857142
2.65,27511,3,4,1900,1,2010,295000,292500,56,-2500,35.7641,-78.7786,1,153.94736842105263
2.65,27703,4,3,1502,1,2014,230000,227500,82,-2500,35.9781,-78.8439,1,151.4647137150466
2.65,27502,2,3,1700,1,2014,267777,265000,46,-2777,35.7225,-78.8408,1,155.88235294117646
2.65,27713,3,2,1356,1,1984,184900,181732,49,-3168,35.9112,-78.9178,1,134.02064896755164
2.65,27703,4,3,1809,1,2020,295000,291000,48,-4000,35.9781,-78.8439,1,160.86235489220564
2.65,27540,3,3,1752,1,2015,262000,257000,60,-5000,35.6263,-78.8458,1,146.68949771689498
2.65,27513,4,4,2643,1,2017,460000,455000,166,-5000,35.7956,-78.7941,1,172.15285660234582
2.65,27571,3,3,1572,1,2020,244900,239900,83,-5000,35.9156,-78.4658,4,152.60814249363867
2.65,27610,3,3,1816,1,2006,220000,215000,45,-5000,35.7667,-78.6008,4,118.3920704845815
2.65,27606,4,4,2379,1,2005,295000,290000,51,-5000,35.7645,-78.7112,2,121.89995796553174
2.65,27703,3,3,1866,1,2019,305900,300000,122,-5900,35.9781,-78.8439,1,160.77170418006432
2.65,27516,1,2,755,1,1998,189000,182500,51,-6500,35.9162,-79.0999,1,241.72185430463577
2.65,27278,3,4,2360,1,2017,360000,353000,47,-7000,36.0756,-79.0914,3,149.57627118644066
2.65,27713,2,2,1075,1,1984,198000,189500,45,-8500,35.9112,-78.9178,1,176.27906976744185
2.65,27529,3,4,2263,1,2017,298500,290000,70,-8500,35.6813,-78.5975,4,128.14847547503314
2.65,27587,3,4,2223,1,2005,249999,240000,65,-9999,35.9815,-78.5392,4,107.96221322537112
2.65,27523,4,4,2286,1,2020,383456,373456,76,-10000,35.7225,-78.8408,1,163.3665791776028
2.65,27519,3,3,1844,1,2020,374630,362630,60,-12000,35.8072,-78.887,1,196.6540130151844
2.65,27614,3,3,1735,1,2006,209000,197000,51,-12000,35.9457,-78.6433,2,113.54466858789624
2.65,27705,4,3,2801,1,1990,499900,483500,77,-16400,36.0218,-78.9478,1,172.6169225276687
2.65,27587,3,4,2310,1,2018,279900,263000,76,-16900,35.9815,-78.5392,4,113.85281385281384
2.79,27703,3,3,1558,1,2021,284180,300120,169,15940,35.9781,-78.8439,1,192.6315789473684
2.79,27609,3,3,1791,1,1981,229900,245000,63,15100,35.848,-78.6317,2,136.79508654383025
2.79,27610,4,3,1510,1,2018,189900,205000,43,15100,35.7667,-78.6008,4,135.76158940397352
2.79,27615,2,3,1162,1,1982,178000,191000,39,13000,35.8887,-78.6393,2,164.37177280550773
2.79,27511,2,3,1228,1,1985,190000,201000,19,11000,35.7641,-78.7786,1,163.68078175895766
2.79,27502,3,3,2565,1,2002,415000,425000,42,10000,35.7225,-78.8408,1,165.69200779727095
2.79,27587,3,3,1776,1,2016,265000,275000,48,10000,35.9815,-78.5392,4,154.8423423423423
2.79,27610,3,3,1775,1,2013,175000,185000,39,10000,35.7667,-78.6008,4,104.22535211267606
2.79,27519,3,3,1876,1,2015,310000,320000,39,10000,35.8072,-78.887,1,170.57569296375266
2.79,27312,3,3,1551,1,2005,237000,245730,36,8730,35.7694,-79.1755,1,158.43326885880077
2.79,27529,3,4,2200,1,2021,364900,373575,1,8675,35.6813,-78.5975,4,169.8068181818182
2.79,27616,3,3,1403,1,2003,190000,198500,35,8500,35.8673,-78.5381,4,141.4825374198147
2.79,27609,2,3,1300,1,1985,210000,218000,34,8000,35.848,-78.6317,2,167.69230769230768
2.79,27529,3,4,2200,1,2021,359900,367400,218,7500,35.6813,-78.5975,4,167.0
2.79,27603,3,3,2055,1,2008,305000,312500,57,7500,35.7076,-78.6563,4,152.06812652068126
2.79,27713,3,4,1898,1,2005,239900,247000,35,7100,35.9112,-78.9178,1,130.13698630136986
2.79,27278,3,3,1915,1,2016,265000,272000,39,7000,36.0756,-79.0914,3,142.0365535248042
2.79,27615,2,3,1047,1,1983,154500,161000,48,6500,35.8887,-78.6393,2,153.77268385864377
2.79,27587,3,3,1411,1,1996,175000,181000,31,6000,35.9815,-78.5392,4,128.27781715095676
2.79,27713,2,2,1154,1,1986,192500,198500,36,6000,35.9112,-78.9178,1,172.0103986135182
2.79,27603,3,3,1403,1,2000,215000,221000,54,6000,35.7076,-78.6563,4,157.51960085531005
2.79,27612,2,3,1400,1,2005,240000,246000,33,6000,35.852,-78.6841,2,175.71428571428572
2.79,27615,2,2,1080,1,1982,172500,178000,34,5500,35.8887,-78.6393,2,164.8148148148148
