"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"2427865","RESIDENTIAL","Single Family Residence","618 Pender Street","Rocky Mount","27801-5645",,"To Be Added","3","1","1,482","0-.25 Acres","1900","1/21/2022","4/8/2022","68","$17,000","$17,000"
"2440458","RESIDENTIAL","Single Family Residence","610 Crowell Street","Wilson","27893",,"Not in a Subdivision","2","1","800","0-.25 Acres","1930","4/4/2022","5/19/2022","23","$25,000","$20,000"
"LP677781","RESIDENTIAL","Single Family Residence","114 & 116 N Malloy Street","Red Springs","28377",,,"3","1","0","1-2.9 Acres","1950","2/9/2022","4/13/2022","33","$29,900","$24,800"
"2432247","RESIDENTIAL","Single Family Residence","600 Barton Street","Kinston","28501",,"Not in a Subdivision","3","1","1,400","0-.25 Acres","1940","2/18/2022","4/21/2022","7","$45,000","$25,000"
"LP667983","RESIDENTIAL","Single Family Residence","104 Vann Street","Maxton","28364",,,"3","1","0",,"1950","9/17/2021","5/19/2022","227","$30,000","$25,000"
"2424547","RESIDENTIAL","Single Family Residence","1016 Old Fayetteville Road","Salemburg","28385",,"Not in a Subdivision","4","2","1,152",".26-.5 Acres","1961","12/27/2021","4/15/2022","43","$45,600","$25,500"
"2446711","RESIDENTIAL","Single Family Residence","105 Ellis Street","Gaston","27832",,"Not in a Subdivision","2","1","528","0-.25 Acres","1938","5/4/2022","6/3/2022","10","$35,000","$30,000"
"2421310","RESIDENTIAL","Manufactured","173 Fawn Drive","Henderson","27537",,"Deer Trails","3","2","1,028","1-2.9 Acres","1993","12/1/2021","5/31/2022","41","$34,000","$32,000"
"LP678481","RESIDENTIAL","Other","5536 Ridgecrest Drive","Hope Mills","28348",,"Hope Mills","3","2","0",,"1985","2/25/2022","6/22/2022","84","$39,000","$33,000"
"2424348","RESIDENTIAL","Single Family Residence","215 Monroe Street","Roanoke Rapids","27870",,"Not in a Subdivision","3","1","1,427","0-.25 Acres","1908","12/23/2021","4/20/2022","91","$34,000","$34,000"
"2411536","RESIDENTIAL","Single Family Residence","607 E Goldleaf Street","Rocky Mount","27801",,"Not in a Subdivision","2","1","864","0-.25 Acres","1928","10/4/2021","5/18/2022","69","$35,000","$35,000"
"LP677031","RESIDENTIAL","Single Family Residence","224 S 6th Street","Spring Lake","28390",,,"2","1","0","0-.25 Acres","1950","2/3/2022","5/5/2022","53","$40,000","$35,000"
"LP681383","RESIDENTIAL","Single Family Residence","4624 Sterling Street","Fayetteville","28306",,,"2","1","0",,"1959","4/4/2022","5/5/2022","2","$40,000","$35,000"
"2448802","RESIDENTIAL","Single Family Residence","530 Thirteen Bridges Road","Enfield","27823-9000",,"Not in a Subdivision","3","1","816",".26-.5 Acres","1900","5/12/2022","6/30/2022","21","$39,900","$35,900"
